사업장명,도로명전체주소,소재지전화
동광지압안마원,"부산광역시 중구 동광길 47, 3층 (동광동5가)",051-468-2285
힐링약손안마원,서울특별시 강북구 도봉로 34-8 (미아동),02-6368-6111
약손안마원,전라남도 보성군 보성읍 신일길 12-1,061-853-9947
주원전통안마원,경상남도 양산시 삼호동부로 39 (명동),
금오힐링수안마원,"경기도 의정부시 청사로5번길 8-17, 센타프라자 7층 706호 (신곡동)",031-851-2044
달인침안마원,"대전광역시 대덕구 오정로 1, 노촌빌딩 3층 (오정동)",
뽀빠이안마지압원,"제주특별자치도 제주시 우정로18길 14, 1층 (외도일동)",
시원 안마원,인천광역시 강화군 강화읍 송악길6번길 20 (고려팰리스),933-7535
늘푸른남양주안마원,"경기도 남양주시 경춘로 1298, 혜림빌딩 301호 (평내동)",
선한손지압안마원,"경기도 안양시 동안구 관악대로 349, 4층 (관양동)",031-426-9475
세종보건안마센터,"세종특별자치시 조치원읍 장안로 3, 2층",
늘함안마원,"서울특별시 송파구 오금로13길 22, 3층 (방이동)",02-424-3313
잘풀림힐링안마원,"서울특별시 송파구 가락로17길 4, 2층 (송파동)",02-2039-9223
약손지압원,"서울특별시 강서구 금낭화로 135, 금강프라자빌딩 6층 610호 (방화동)",02-2664-7591
바른체형교정안마원,"인천광역시 미추홀구 경원대로 869, 르네상스빌딩 (주안동)",
라파 안마원,"경상북도 영덕군 영덕읍 남석2길 5, 1층",054-732-9987
여우안마시술소,경상북도 칠곡군 석적읍 북중리2길 42,054-974-7763
약손지압원,경상북도 칠곡군 왜관읍 중앙로7길 21-1,054-973-4558
두드림안마원,경상북도 칠곡군 왜관읍 중앙로10길 7,054-977-8875
신데렐라안마시술소,경상북도 구미시 산업로 324 (원평동),
한강지압안마원,경상북도 구미시 상사동로 163-8 (사곡동),054-464-4121
무성지압안마원,경상북도 구미시 봉곡남로9길 3 (봉곡동),
시원지압안마원,경상북도 구미시 구미중앙로 23-1 (원평동),054-444-5575
구미건강안마원,경상북도 구미시 원남로 130-1 (원평동),444-7588
인동안마원,경상북도 구미시 인동중앙로7길 11 (황상동),054-473-9875
탁터안마원,경상북도 구미시 신시로10길 13-1 (송정동),
장안마원,경상북도 구미시 인동중앙로10길 19 (인의동),054-472-6600
백암지압안마원,경상북도 울진군 평해읍 평해로 67-1,054-787-3665
테라피지압안마원,"경상북도 봉화군 봉화읍 내성로 94, 2층",
조은아침지압원,"인천광역시 미추홀구 독배로 380, 2층 (용현동)",032-891-7777
시각복지안마원,인천광역시 미추홀구 경원대로640번길 26-17 (관교동),032-426-8575
다좋은행복안마원,인천광역시 미추홀구 주안로 75 (주안동),
휴안마토피아,"인천광역시 미추홀구 경인로 391, 주안현대아파트 (주안동)",032-202-8575
으뜸안마원,"인천광역시 미추홀구 주안로213번길 15, 간석역프라자 2층 202호 (주안동)",032-437-3375
최&박 지압 안마원,전라북도 완주군 봉동읍 봉동로 143,063-261-1275
건강지압안마원,전라북도 완주군 삼례읍 동학로 19,063-291-7525
오케이안마원,"제주특별자치도 제주시 노연로 114-1 (연동,3층)",064-711-5535
39.27 만나 지압원,제주특별자치도 제주시 서광로 230 (삼도일동),064-755-3927
청춘안마원,제주특별자치도 제주시 중앙로 181 (이도일동),064-758-3865
24시안마원,제주특별자치도 제주시 서광로20길 7 (삼도일동),064-723-5339
신제주지압원,"제주특별자치도 제주시 삼무로 74, 2층 (연동)",064-749-7575
건강제주안마지압원,"제주특별자치도 제주시 선덕로 18, 5층 (연동, 진일빌딩)",064-744-9633
라파지압원,"제주특별자치도 제주시 서사로 165-1, 2층 (오라일동)",702-6180
수풀림지압원,제주특별자치도 제주시 인다4길 41 (아라일동),
제주통합안마원,제주특별자치도 제주시 아봉로 433 (월평동),"721-1111, 710-1220"
청청안마원,"제주특별자치도 제주시 연신로 123 (이도이동,지하)",064-757-0987
해비침지압원,제주특별자치도 제주시 신광로4길 36-1 (연동),064-746-0078
나이스 안마원,제주특별자치도 제주시 중앙로 284 (이도이동),064-725-6226
김승곤지압안마원,"경기도 안양시 만안구 안양로 110, 엘리제빌리지 2층 (안양동)",
건강이음안마원,충청남도 청양군 청양읍 중앙로13길 1,041-943-9439
우리안마원,"대전광역시 중구 중촌로40번길 24, 1층 (중촌동)",042-585-1230
뉴제주안마원,"제주특별자치도 제주시 도령로 140, 2층 201호 (연동, 삼무스위트빌)",064-747-8893
약손안마지압원,강원도 평창군 진부면 진부중앙로 99,033-332-7588
건강보건안마원,"충청남도 당진시 당진중앙2로 59-9, 1층 (읍내동)",041-355-8808
위드지압원,"부산광역시 부산진구 동평로420번길 13, 4층 (양정동)",051-852-7566
건강드림안마원,"제주특별자치도 제주시 도령로 31, 2층 203호 (노형동)",
올리브안마원,"경기도 의정부시 평화로562번길 8, 2층 (의정부동)",031-841-0608
김현성 빛가람건강안마센터,"전라남도 나주시 빛가람로 689, 402,402호 (빛가람동)",061-333-3690
제주비타민마사지안마원,"제주특별자치도 제주시 신광로 75, 2층 (연동)",064-744-5317
신기한손안마원,"경기도 용인시 기흥구 구갈로28번길 23, 명지빌딩 202호 (구갈동)",
시원한안마원,"대구광역시 달서구 호산로29길 117, 2층 (파호동)",053-583-7770
최용석안마원,경상남도 합천군 합천읍 중앙로 33-32,055-934-0470
장수안마원,"충청남도 당진시 당진중앙2로 87, 뷰티플레스 (읍내동)",041-345-7780
부여보건안마센터안마원,"충청남도 부여군 부여읍 사비로 66-1, 2층",
오포참좋은안마원,"경기도 광주시 오포읍 양벌로215번길 4, 3층",031-765-1222
휴림지압안마원,"경기도 군포시 번영로 498, 산본빌딩 7층 701,702호 (금정동)",
건강사랑지압안마원,"부산광역시 동구 중앙대로 181, 3층 (초량동)",051-204-3312
효자약손,전라북도 전주시 완산구 서원로 228 (효자동1가),063-223-2662
다나안마원,경상북도 영천시 상록4길 66 (야사동),
명가정통지압안마원,"부산광역시 부산진구 동평로 350, 양정현대프라자 5층 507호 (양정동)",051-633-2551
바디케어지압원,"부산광역시 부산진구 가야대로 525, 3층 (가야동)",051-909-0365
약손현가안마원,경상북도 김천시 중앙공원길 9 (남산동),
청라약손안마원,"인천광역시 서구 청라루비로 95, 경연프라자 204호 (청라동)",032-569-2999
진지압안마원,"광주광역시 광산구 광산로 9, 2층 (송정동)",
보건안마센터,"광주광역시 남구 효우로 87, 501호 (노대동)",062-682-5996
국가대표안마원,"인천광역시 동구 솔빛로91번길 2-1, 4층 (송림동)",032-772-8575
부산안마지압원,"부산광역시 남구 고동골로4번길 17, 3층 (문현동)",051-463-5459
새힘힐링안마원,"서울특별시 광진구 능동로39길 9, 2층 (중곡동)",02-452-0691
장봉민건강지압안마원,"경기도 하남시 미사강변동로 73, 미사강변 노블레스 3층 313호 (망월동)",699-3700
오송정통안마원,충청북도 청주시 흥덕구 오송읍 연제길 181-9,
상쾌한안마원,"인천광역시 부평구 주부토로 33, 4층 (부평동)",032-503-0177
보라매맥진안마원,"서울특별시 동작구 대방동1길 15-1, 하이빌 1층 (대방동)",
조은건강안마원,대구광역시 수성구 동대구로 224(범어동),424-5577
호산나안마원,"대전광역시 동구 옥천로 202-7, 2층 (판암동)",
캡틴안마시술소,"광주광역시 서구 상무연하로 43, 지상4,5층 (치평동)",
풀샵안마시술소,"광주광역시 서구 상무연하로 5, 지상 5,6층 (치평동)",062-375-4402
려수참술안마원,광주광역시 남구 중앙로 94 (서동),
바른체형수기센터안마원,"광주광역시 남구 봉선1로 48, 1층 (봉선동)",
가든안마원,"광주광역시 남구 대남대로 274-1, 2층 (백운동)",062-651-7474
성심안마원,"광주광역시 남구 회재로 1270, 3층 301호 (백운동, 현대간호학원)",062-653-5674
쵸이스안마시술소,"광주광역시 서구 상무연하로 27, 지상3층 (치평동)",062-383-9710
필안마시술소,"광주광역시 서구 상무연하로 29, 지상5층 (치평동)",
스타안마시술소,"광주광역시 서구 상무중앙로78번길 5-2, 지상6,7층 (치평동)",062-383-7743
상무안마시술소,"광주광역시 서구 상무중앙로38번길 11 (치평동, 충광빌딩)",
가나성일휴보건안마원,"광주광역시 서구 상무대로 894, 모아미래도 스카이뷰 2층 209~210호 (쌍촌동)",062-372-2544
백선생 약손안마원,"광주광역시 서구 상무공원로 114, 2층 204호 (치평동, 해광한신아파트)",
건강지압센터 손수,"광주광역시 서구 상무중앙로28번길 4, 세진빌딩 5층 505호 (치평동)",062-383-0705
K1안마시술소,"광주광역시 서구 상무연하로 50, 지상8층 (치평동)",062-383-5577
주안마원,부산광역시 남구 수영로219번길 6 (대연동),051-623-1722
건강우리지압원,"부산광역시 남구 못골번영로 11, 5층 (대연동, 성산빌딩)",051-626-7575
에스안마시술소,부산광역시 연제구 거제천로182번길 42-4 (연산동),051-865-6580
영도안마원,부산광역시 영도구 동삼서로 6-4 (동삼동),403-6829
동삼안마원,"부산광역시 영도구 동삼로 68, 3층 (동삼동)",403-4174
백진안마원,"부산광역시 영도구 태종로 98, 502호 (대교동2가, 모닝아일랜드)",051-412-1010
참사랑약손지압안마원,부산광역시 영도구 청학로31번길 6 (청학동),051-415-5147
건강한미안마지압원,부산광역시 연제구 과정로 82 (연산동),051-751-4976
몸편한약손약발지압원,부산광역시 연제구 고분로13번길 61-3 (연산동),051-864-3617
연산우리들안마원,"부산광역시 연제구 월드컵대로 10, 1층 (연산동)",051-544-9928
소생안마원,"부산광역시 연제구 거제천로118번길 23, 상가동 203호 (연산동, 엔학미지앙)",
약손안마원,부산광역시 북구 만덕대로 129 (덕천동),051-332-5632
천부안마원,"부산광역시 북구 학사로17번나길 25, 3층 (화명동)",051-361-7572
초원안마지압원,"부산광역시 남구 고동골로78번길 54 (문현동, 삼부맨션)",635-8006
행복지압안마원,"부산광역시 북구 만덕3로 15, 1층 (만덕동)",051-334-1925
건강 이상운지압원,"부산광역시 북구 금곡대로 280-4, 4층 (화명동, 해동빌딩)",051-362-7588
그린안마원,"부산광역시 북구 백양대로 1022-1, 2층 (구포동)",051-343-7579
수지압안마원,"부산광역시 북구 백양대로 1180, 2층 201호 (구포동)",051-333-7574
화명지압안마원,"부산광역시 북구 금곡대로303번길 12, 샤롯데 2층 203호 (화명동)",051-362-7575
어울림지압원,"부산광역시 남구 못골로12번길 35, 6층 2호 (대연동)",051-907-8478
김성심건강안마원,"부산광역시 남구 수영로 282, 310호 (대연동, 현대오피스텔)",051)918-7575
벧엘안마원,부산광역시 남구 석포로 125 (대연동),051)624-8872
영성물리안마원,부산광역시 남구 전포대로 76 (문현동),051)634-7576
한서안마원,부산광역시 남구 못골번영로 79-1 (대연동),051)622-8275
손안마원,부산광역시 중구 대청로99번길 19-4 (대청동4가),
약청사안마원,부산광역시 중구 흑교로 79 (보수동2가),051-247-3110
뉴그린안마원,"부산광역시 중구 중앙대로 129, 503호 (대창동1가)",466-8575
수풀림안마원,"부산광역시 중구 중앙대로 80, 노블리안2 지하1층 B101호 (중앙동4가)",051-462-9595
가나약손119안마원,"부산광역시 해운대구 중동1로 38, 3층 (중동)",731-7578
가람지압안마원,"부산광역시 해운대구 해운대로469번길 138, 1층 (우동)",747-1771
마이더스(MIDAS)안마원,"부산광역시 해운대구 재반로 89-5, 2층 (재송동)",051-783-1950
백세건강지압안마원,"부산광역시 해운대구 윗반송로51번길 91-31, 2층 (반송동)",051-542-6764
신세계지압안마원,"부산광역시 해운대구 재반로 204, 202-1호 (반여동, 야무진 FASHION)",051-990-9679
다원약손안마원,"부산광역시 해운대구 윗반송로51번길 37-29, 1,2층 (반송동)",515428397
수앤수,"부산광역시 해운대구 해운대로 814, A동 306호 (좌동, 세종월드프라자)",701-1144
용인안마원,부산광역시 사하구 다대로140번길 163 (신평동),051-203-7297
성심안마원,"부산광역시 사하구 다대로136번길 6, 2층 (신평동)",202-7997
이든7575지압원,"부산광역시 해운대구 해운대해변로 291, 크리스탈비치오피스텔 304호 (중동)",051-703-7958
해동지압원,부산광역시 사하구 장림번영로 105 (장림동),051-262-8397
제니스안마시술소,"부산광역시 사하구 낙동남로1423번길 17, 7층 (하단동)",051-205-0566
재생안마원,"부산광역시 사하구 낙동대로 301, 206호 (괴정동,일동지엔닌상가)",051-293-0994
덕심지압원,"부산광역시 사하구 낙동대로356번길 19, 1층 (당리동)",051-903-6517
양지안마지압원,"부산광역시 사하구 낙동대로 376, 3층 (당리동)",205-2522
두드림안마원,"부산광역시 사하구 낙동대로450번길 12, 2층 (당리동)",051-201-0440
효사랑안마지압원,"부산광역시 사하구 장평로449번길 26, 1층 101호 (괴정동, 천아하늘정원2차아파트)",051-205-3331
강동근안마지압원,부산광역시 사하구 낙동대로 352 (당리동),051-529-7070
행복한 힐링 안마원,부산광역시 사하구 동매로81번길 1 (하단동),
착한손바른안마원,"부산광역시 기장군 정관읍 정관로 499, 4층 401호 (드림빌딩)",727-2778
송정안마시술소,경상북도 구미시 구미중앙로42길 9-1 (송정동),054-453-4247
영생안마원,경상북도 구미시 산호대로25길 25-16 (옥계동),
서울안마원,경상북도 구미시 역전로 31 (원평동),054-456-3677
임마누엘안마원,경상북도 구미시 금오산로 49-4 (원평동),054-457-7512
약손안마원,"경상북도 구미시 상사동로 169 (사곡동,금실타운 1차 107호)",054-464-7582
고래안마시술소,경상북도 구미시 산호대로27길 13-1 (옥계동),054-475-5269
으랏차차경락지압안마원,경상북도 경주시 초당길55번길 7-1 (동천동),
맑은손 안마센타(원),경상북도 경주시 동성로 29 (성건동),
건강안마원,"경상북도 경주시 원효로 49, 왕산빌딩 2층 (성건동)",054-775-7558
가 안마원,"경상북도 경주시 금성로 295, 경주중앙시장 8동 2층 (성건동)",
뉴 플러스안마시술소,울산광역시 동구 방어진순환도로 594 (화정동),052-251-3354
척추지압안마원,울산광역시 동구 방어진순환도로 715 (전하동),052-233-4275
수안지압원,"울산광역시 동구 진성1길 47 (전하동, 한라한빛타운 상가)",522326777
안마원의품격,"울산광역시 중구 동천6길 12, 101호 (서동, 해성빌라트)",292-4585
지명안마원,"울산광역시 중구 강정6길 28, 2층 (우정동)",245-0975
스타킹안마시술소,울산광역시 북구 동대16길 6 (호계동),052-285-0273
엔젤안마원,울산광역시 북구 명촌13길 5-1 (명촌동),052-287-3335
약손안마원,"울산광역시 중구 학성로 150, 5층 (학산동)",258-8236
언양안마시술소,"울산광역시 울주군 언양읍 헌양길 54, 4층",052-263-2717
건강지압안마원,울산광역시 울주군 온양읍 태화7길 36,
원더플안마시술소,"울산광역시 남구 번영로124번길 21-1, 3,4층 (달동)",224-8888
김영식지압안마원,울산광역시 남구 남부순환도로 17 (무거동),
바른손지압안마원,울산광역시 남구 문수로369번길 16 (옥동),
태양지압교정원,울산광역시 남구 수암로115번길 6-18 (신정동),
몸사랑지압원,"울산광역시 남구 옥현로46번길 5-2, 2층 (무거동)",
개구리안마시술소,"울산광역시 남구 왕생로45번길 15-1, 3,4,5층 (달동, 대원빌딩)",052-267-3731
영생지압안마원,"울산광역시 남구 월평로 66, 2층 (신정동)",276-4600
아우라안마시술소,"울산광역시 남구 번영로124번길 13, 2~5층 (달동)",227-7072
동양지압안마원,울산광역시 남구 삼산로317번길 12-7 (삼산동),292-7475
안남준지압안마원,"울산광역시 남구 삼산로77번길 10, 104호 (달동)",258-2426
수앤수안마원,"울산광역시 남구 삼산로 125, 2층 (달동)",052-999-9888
제일지압안마원,"울산광역시 남구 문수로369번길 32, 1층 (신정동)",
슈퍼맨안마시술소,"울산광역시 남구 신복로22번길 20, 4층 (무거동)",224-2838
성신수기원,"울산광역시 남구 돋질로37번길 36, 2층 (신정동)",
힐링 안마원,울산광역시 남구 중앙로156번길 51 (달동),
수안마시술소,"울산광역시 남구 왕생로62번길 5 (달동,4~6층)",276-9598
기공약손 경락지압 안마원,"인천광역시 강화군 선원면 와말길 152-46, 기공약손 경락지압 안마원",032-932-6667
명약안마원,전라남도 고흥군 남양면 운교주곡길 36-4,
늘봄안마원,"전라남도 광양시 공영로 74, 3층 (중동)",061-794-8985
약손안마원,전라남도 순천시 이수로 280 (조례동),061-724-2272
봉순안마시술소,전라남도 순천시 성동교길 30 (장천동),745-4600
가자힐링안마원,"전라남도 순천시 해룡면 기적의도서관길 90, 상가동 1층 34호 (부영3차아파트)",061-906-3896
참사랑안마원,전라남도 순천시 중앙초등길 4 (풍덕동),
바른손안마원,"전라남도 순천시 중앙로 42 (장천동, 모닝글로리)",061-743-6709
이레안마원,"전라남도 순천시 조례못등길 37, 2층 (조례동)",061-721-5858
가가 지압원,"전라남도 목포시 하당로 189 (상동,(2층))",281-9875
스타안마시술소,"전라남도 목포시 번영로 31 (상동,6,7층)",
목포시각안마원,전라남도 목포시 소영길 20-1 (용당동),061-981-1000
사랑의약손안마원,"전라남도 목포시 옥암로 20, 2층 (옥암동)",061-284-1175
클린안마센터 전남1호점,전라남도 목포시 삼향천로91번길 16-1 (옥암동),
참조은안마원,전라남도 목포시 신흥로 62 (상동),
청안지압안마원,"전라남도 목포시 백년대로266번길 31, 2층 (상동)",061-283-5548
한빛안마원,전라남도 목포시 삼학로145번길 8 (산정동),061-243-0461
희나리안마원,전라남도 목포시 하당로 185 (상동),
베스트약손,"전라남도 목포시 둥근섬로35번길 1, 1층 2호 (산정동)",
동인방지압원,전라남도 목포시 하당로221번길 4 (상동),061-282-0366
건강으뜸안마원,"전라남도 여수시 좌수영로 지하 268 (오림동, 여수버스터미널)",
이준지압원,전라남도 진도군 임회면 광전길 115,061-543-5486
나주약손 지압 안마원,전라남도 나주시 나주로 9-5 (송월동),061-337-8576
이지안마원,전라남도 나주시 예향로 3826 (이창동),061-332-4352
동명안마원,전라남도 해남군 삼산면 시등안길 37,061-532-7470
약손안마원,"전라남도 해남군 해남읍 중앙2로 39, SK텔레콤",615334660
고려건강안마원,전라남도 함평군 함평읍 내대화길 110,324-9675
제주사랑안마원,"제주특별자치도 제주시 신대로 124, 2층 (연동)",046-742-4239
쉼팡 마사지 지압원,"제주특별자치도 서귀포시 중앙로62번길 5, 3층 (서귀동)",
서귀안마원,제주특별자치도 서귀포시 중산간서로 606 (대포동),064-738-1462
중문마사지,제주특별자치도 서귀포시 중문관광로 348 (중문동),
25시중문안마원,"제주특별자치도 서귀포시 중문상로 41-3, 2층 (중문동)",
가장좋은날 안마지압원,"부산광역시 사하구 승학로71번길 30, 110동 303호 (당리동, 당리푸르지오)",051-205-7577
체형밸런스요법안마원,"서울특별시 서초구 서초대로54길 24, 601호 동측 일부 (서초동)",02-3446-2808
송정보건안마원,"광주광역시 광산구 광산로30번길 67, 1층 (송정동)",062-942-0086
지호지압안마원,서울특별시 동대문구 고산자로 459 (제기동),
으뜸안마원,전라북도 익산시 인북로 46-1 (인화동1가),
강남힐링지압안마원,"부산광역시 부산진구 전포대로300번길 20, 301호 (전포동)",051-805-2816
강안마지압원,경상남도 사천시 사천읍 사천읍성로 16,
탑안마시술소,"경기도 고양시 일산동구 무궁화로 18, 남정 씨티프라자 1 701호 일부, 706~708호호 (장항동)",
자연재생 힐링원,광주광역시 북구 하백로6번길 18 (매곡동),
안마수기치유센터,"광주광역시 서구 월드컵4강로 191, 1층 (쌍촌동)",062-373-7775
오케이 지압 안마원,"인천광역시 중구 제물량로 103, 2층 (신흥동1가)",032-777-7858
대한보건안마원,충청북도 제천시 내토로 481 (화산동),
황금안마원,"경상북도 포항시 북구 법원로 1, 모던빌딩  4층 (장성동)",054-248-9159
청담안마지압원,"부산광역시 부산진구 새싹로 83-2, B동 2층 (부암동)",051-802-7999
이곳생명샘 지압안마원,"경상남도 양산시 북안남3길 23, 1층 (북부동)",
부산보건안마센터,"부산광역시 강서구 명지국제8로 229, 부산명지지구아이메디컬 201호 (명지동)",051-553-0754
청춘生안마,"대전광역시 유성구 온천서로 22-9, 1층 103호 (봉명동, 유성온천훼미리타운)",042-862-3933
진주성안마원,"경상남도 진주시 북장대로59번길 16, 1층 (봉곡동)",
약손안마지압원(마사지),"전라남도 화순군 화순읍 중앙로 14, 2층",061-371-7588
건강안마원,경상남도 의령군 의령읍 의병로15길 3,573-0088
건강100세안마원,"경기도 남양주시 화도읍 마석중앙로 91, 202호",031-559-0119
신동만안마원,"서울특별시 동대문구 경동시장로 11, 2층 (제기동)",
두드림지압안마원,"인천광역시 남동구 장승로 9, 신비프라자 4층 일부호 (만수동)",032-464-7778
건강드림안마원,"인천광역시 동구 화수로 3-5, 2층 (송현동)",
참손길지압힐링센터안마원,"경기도 부천시 부천로 50-1, 오성빌딩 2층 (심곡동)",032-664-7582
이손힐링안마원,"경기도 안성시 중앙로 366, 크리스탈빌딩 1동 10층 1003호 (석정동)",
삼손안마원,"울산광역시 남구 월평로187번길 19, 2층 (삼산동)",
안산포인트안마원,"경기도 안산시 단원구 광덕3로 145-5, 동일프라자 206호 (고잔동)",
바른몸약손안마원,"경상남도 밀양시 내이2길 8, 1층 (내이동)",
한사랑안마원,"충청남도 보령시 원동1길 30-9, 2층 (대천동)",
한강안마원,"대전광역시 동구 대전로 814, 3층 (정동)",222-6000
청우안마원,대전광역시 동구 용운로 19 (대동),042-284-4844
다나안마원,"대전광역시 동구 대전로 758 (원동,뜰안채 2층)",042-285-8575
놀부안마원,대전광역시 동구 옻밭5길 112 (판암동),272-1440
샬롬안마원,대전광역시 동구 새울로 90 (용운동),042-286-0332
실로암안마원,"대전광역시 동구 흥룡로 60, 201-2호 (가양동)",042-638-2455
방승권안마원,대전광역시 동구 태전로 132-11 (삼성동),042-222-5805
건강백세안마원,"대전광역시 동구 동대전로 108, 2층 (대동, 동부가전랜드)",042-284-7080
유명안마원,"대전광역시 중구 동서대로 1420 (선화동,2층)",042-632-7979
샘안마시술소,대전광역시 중구 문창로 88 (문창동),252-5893
장수안마원,"대전광역시 중구 계룡로 835, 2층 (용두동)",042-222-8575
참빛안마원,"대전광역시 중구 문화로78번안길 21 (산성동,1층)",042-583-2369
근풀림안마원,대전광역시 중구 계룡로 876 (오류동),042-523-8589
힐링안마원,"대전광역시 중구 동서대로 1388, 상가동 301호 (목동, 금호한사랑아파트)",042-223-0090
산삼안마원,"대전광역시 중구 보문로103번길 85, 2층 (부사동)",042-252-3375
길지압안마원,대전광역시 중구 대종로 669 (중촌동),223-0690
참사랑마사지안마원,"대전광역시 중구 유천로102번길 10, 1층 (유천동)",
용약손안마원,"부산광역시 동래구 명안로39번길 4, 2층 (안락동)",051-523-5052
한국전통지압원,"부산광역시 동래구 사직북로 3, 사직동백진빌딩 5층 (사직동)",051-507-2116
자오안마원,부산광역시 동래구 아시아드대로 250 (온천동),501-7532
우리들안마원,부산광역시 동래구 반송로 237 (안락동),527-7975
동방수기요법안마원,부산광역시 동래구 아시아드대로 157 (사직동),502-5050
지성안마지압원,"부산광역시 금정구 동부곡로12번길 39, 1층 (부곡동)",051-512-5152
푸른지압원,"부산광역시 해운대구 양운로 88 (좌동,해운대쌍용플래티넘트원 102-203)",923-7575
사쿠라지압원,"부산광역시 해운대구 좌동순환로8번길 54-11, 1층 (중동)",051-612-0002
센텀엘림안마원,"부산광역시 해운대구 센텀3로 20 (우동,센텀호텔 318호)",720-8100
통증없는 바른몸 안마원,부산광역시 해운대구 아랫반송로 13-1 (반송동),544-9675
썬안마지압원,"부산광역시 해운대구 재반로103번가길 58, 1층 (재송동, 신아씽크공장)",051-731-0399
충무지압안마원,"부산광역시 서구 구덕로124번길 8-1 (토성동4가,(2층))",051-247-0129
예림안마원,부산광역시 서구 대영로 78 (동대신동1가),051-255-3175
대동안마자압원,부산광역시 서구 구덕로 284 (동대신동1가),245-6123
진성약손안마지압원,"부산광역시 서구 천마로 226-1, 1층 (충무동2가)",051-245-8248
삼보안마원,부산광역시 부산진구 서전로68번길 8 (전포동),802-3550
조만호안마원,부산광역시 부산진구 동성로 134 (전포동),805-1237
동보안마원,"부산광역시 부산진구 중앙대로 940 (양정동,인제빌딩 4층)",051-851-2998
승록안마원,부산광역시 부산진구 진연로 9 (양정동),868-8955
서면제일약손안마원,"부산광역시 부산진구 새싹로 26-1, 3층 (부전동)",808-3882
더테라피전통안마지압원,"부산광역시 부산진구 중앙대로969번길 11, 1층 103호 (양정동, 양정롯데갤러리움아파트상가)",051-852-7845
노벨안마원,"부산광역시 부산진구 새싹로 30, 104호 (부전동, 경동파크타워)",051-803-5599
금봉안마원,"부산광역시 부산진구 범일로 160, 중앙빌딩 5층 (범천동)",051-636-3836
웰빙안마원,"부산광역시 부산진구 당감서로9번길 3, 1층 (당감동)",896-7575
늘푸른세상안마원,부산광역시 부산진구 서전로58번길 80 (전포동),051-816-9766
동의안마원,부산광역시 부산진구 가야공원로14번길 82 (개금동),894-8103
금정안마원,부산광역시 금정구 구서중앙로15번길 9 (구서동),051-582-9896
사랑안마원,"부산광역시 금정구 서부로 39, 지하1층,2층 (서동)",051-525-9697
로하스안마원,"부산광역시 사상구 가야대로 258, 3층 (주례동)",051-312-8575
다손안마원,"부산광역시 사상구 사상로 512, A-204호 (모라동, 모라리버빌)",051-304-9801
신만수안마원,"부산광역시 부산진구 가야대로 718 (범천동,14.15)",817-3335
더죤안마지압원,부산광역시 사상구 사상로 175 (괘법동),051-311-7677
김현희안마원,"부산광역시 사상구 가야대로 330, 4층 (주례동, 삼선빌딩)",805-7575
오성안마원,"강원도 횡성군 횡성읍 화성로 3, 2층",033-345-0975
라파참안마원,강원도 횡성군 횡성읍 읍마남로25번길 14-5,033-345-8889
시인안마원,"대전광역시 서구 대덕대로162번길 15, 동아프라자 201호 (갈마동)",042-525-9144
실로암지압안마원,"경기도 수원시 팔달구 중부대로239번길 58 (우만동,2층)",031-217-7790
느낌안마시술소,경기도 수원시 영통구 청명남로34번길 3 (영통동),031-205-8597
모담지압안마원,"경기도 수원시 팔달구 인계로94번길 8, 4층 (인계동)",
고경환지압안마원,"경기도 수원시 팔달구 덕영대로697번길 17, 504-2호 (화서동, 그린프라자)",031-255-3337
원안마원,경기도 수원시 팔달구 경수대로507번길 12-14 (인계동),031-234-2655
제이안마시술소,경기도 수원시 팔달구 장다리로 331 (인계동),
행복지압안마원,"경기도 수원시 장안구 송원로 39, 월드타워 2층 202호 (송죽동)",
드림안마원,"경기도 수원시 영통구 매봉로35번길 16-6, 1층 (매탄동)",031-893-7575
엔돌핀안마원,"경기도 수원시 팔달구 중부대로 54, 2층 (인계동)",031-233-7774
프로힐링지압안마원,"경기도 수원시 장안구 경수대로 940, 513호 (조원동, 일호골든타워1)",031-252-7975
킹안마시술소,"경기도 수원시 영통구 효원로 383 (매탄동,매탄프라자9층)",031-217-0787
경기안마원,경기도 수원시 권선구 정조로 575 (세류동),031-233-8438
샴푸안마시술소,경기도 수원시 권선구 수인로 275 (구운동),031-298-7720
명성지압안마원,"경기도 수원시 팔달구 화양로5번길 1, 401호 (화서동)",031-241-7482
진주,경기도 수원시 장안구 파장로 77 (정자동),031-246-4165
뉴허브안마시술소,경기도 수원시 장안구 송원로 39 (송죽동),031-243-1210
피로타파 안마원,"경기도 수원시 팔달구 인계로124번길 27, 4층 (인계동, 동림빌딩)",031-236-0022
홀릭안마시술소,경기도 수원시 영통구 덕영대로 1535 (영통동),031-202-4547
향기안마시술소,경기도 수원시 팔달구 효원로235번길 46-11 (인계동),031-237-6496
참손길지압힐링센터수원역점,"경기도 수원시 팔달구 덕영대로 905, 1003호 (매산로1가, 아이메카 상가)",031-258-7555
100세안마지압원,경기도 수원시 장안구 정조로945번길 24 (영화동),031-242-0506
예쁘제경락경혈지압안마원,"경기도 수원시 장안구 파장로54번길 6, 1층 (파장동)",031-246-8690
웰빙카페지압안마원,"경기도 수원시 권선구 곡선로50번길 33, 4층 (곡반정동)",
건강안마원,"경기도 수원시 팔달구 팔달문로 135, 1층 (우만동)",031-213-7722
삼성안마시술소,"경기도 수원시 팔달구 인계로108번길 49 (인계동,(5층))",031-224-7687
