"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","의료유사업종별명","직원수","자격증소유자수","보조직원수","시설관리자수","기타직원수","병상수","욕실면적","총면적",
"916","의료유사업","01_01_10_P","3660000","PHMB420163660023042400002","20160307","","03","폐업","03","폐업","20170322","","","","","","","대전광역시 서구 갈마동 828","대전광역시 서구 갈마역로 19, 2층 (갈마동)","35231","터안마원","20201203142452","U","2020-12-05 02:40:00.0","안마원","233480.946818","316894.105689","안마원","","","","","","","","77.3",
"917","의료유사업","01_01_10_P","3660000","PHMB420163660023042400006","20160907","","03","폐업","03","폐업","20190530","","","","","","","대전광역시 서구 탄방동 1172번지","대전광역시 서구 탄방로7번길 147, 1층 (탄방동)","35252","건강보건안마원","20190530112726","U","2019-06-01 02:40:00.0","안마원","235450.01","316501.91","안마원","1","","","","","","","39.5",
"918","의료유사업","01_01_10_P","3270000","PHMB420153270022042400001","20150707","","03","폐업","03","폐업","20170110","","","","","","601830","부산광역시 동구 초량동 1056번지 36호","부산광역시 동구 초량상로 34 (초량동)","48819","소생안마원","20170110133558","I","2018-08-31 23:59:59.0","안마원","385591.248001476","181425.423838974","안마원","","","","","","1","","50.23",
"919","의료유사업","01_01_10_P","3270000","PHMB420173270022042400001","20170522","","03","폐업","03","폐업","20180124","","","","051-468-8004","","","부산광역시 동구 초량동 232번지 1호","부산광역시 동구 중앙대로231번길 34 (초량동)","48815","풀림안마원","20180124133510","I","2018-08-31 23:59:59.0","안마원","385847.194455537","181836.717865453","안마원","0","","","","","","0","69.4",
"920","의료유사업","01_01_10_P","3380000","PHMB420023380023042400001","20020408","","03","폐업","03","폐업","20090922","","","","051-754-7664","","613120","부산광역시 수영구 수영동 450번지 8호","부산광역시 수영구 연수로415번길 9 (수영동)","","금강안마시술소","20090922181917","I","2018-08-31 23:59:59.0","안마시술소","392580.143672738","187509.943645348","안마시술소","2","","","","","14","","410.79",
"921","의료유사업","01_01_10_P","3270000","PHMB420033270022042400001","20031215","","03","폐업","03","폐업","20090821","20090602","20091201","","632-8407","","601806","부산광역시 동구 범일동 617번지 1호","부산광역시 동구 자성공원로 1-16 (범일동)","","필안마시술소","20090821145548","I","2018-08-31 23:59:59.0","안마시술소","387692.165298911","184005.545978171","안마시술소","2","","","","","14","","315.54",
"922","의료유사업","01_01_10_P","3270000","PHMB420103270022042400001","20100318","","03","폐업","03","폐업","20141229","","","","464-1181","","601838","부산광역시 동구 초량3동 1197번지 1호","부산광역시 동구 중앙대로236번길 8 (초량동)","601838","동백안마원","20141230093144","I","2018-08-31 23:59:59.0","안마원","386089.420913756","181731.617240491","안마원","1","","","","","","","67.28",
"923","의료유사업","01_01_10_P","3270000","PHMB420103270022042400002","20100715","","03","폐업","03","폐업","20110314","","","","635-5975","","601808","부산광역시 동구 범일2동 830번지 170호","부산광역시 동구 자성로133번길 45-1 (범일동)","","태양안마원","20110314145229","I","2018-08-31 23:59:59.0","안마원","387893.908003239","184339.16773735","안마원","1","","","","","","","22.94",
"924","의료유사업","01_01_10_P","3270000","PHMB420123270022042400001","20120213","","03","폐업","03","폐업","20130321","","","","637-0090","","601808","부산광역시 동구 범일2동 830번지 260호 동양빌딩 601호","부산광역시 동구 범일로102번길 16-10, 601호 (범일동,동양빌딩)","","조은전통안마원","20130322103521","I","2018-08-31 23:59:59.0","안마원","387770.445370824","184100.20738473","안마원","1","","","","","1","","50.46",
"925","의료유사업","01_01_10_P","3270000","PHMB419933270022042400001","19931230","","03","폐업","03","폐업","20130326","","","","644-8678","","601802","부산광역시 동구 범일동 63번지 1호","부산광역시 동구 중앙대로 529-1 (범일동)","601802","백산안마원","20130326150232","I","2018-08-31 23:59:59.0","안마원","387337.321204777","184301.41817028","안마원","1","","","","","1","","58.52",
"926","의료유사업","01_01_10_P","3270000","PHMB420143270022042400001","20140528","","03","폐업","03","폐업","20170608","","","","051-241-7575","","601829","부산광역시 동구 초량동 207번지 8호","부산광역시 동구 초량로 5-1 (초량동)","48815","성진안마원","20170608171348","I","2018-08-31 23:59:59.0","안마원","385959.432939395","181819.391846242","안마원","","","","","","","","73.44",
"927","의료유사업","01_01_10_P","5670000","PHMB420115670062042400003","20110916","","03","폐업","03","폐업","20140807","","","","055-263-8572","","642010","경상남도 창원시 성산구 상남동 18-8번지 3,4층","경상남도 창원시 성산구 마디미로31번길 5 (상남동, 3,4층)","642832","수안마시술소","20140807102425","I","2021-07-02 00:23:01.0","안마시술소","353312.938431561","192645.10155493","안마시술소","2","","","","","15","","626",
"928","의료유사업","01_01_10_P","5670000","PHMB420105670066042400002","20100310","","03","폐업","03","폐업","20110530","","","","222-9675","","631853","경상남도 창원시 마산합포구 산호동 48번지 7호","","","경남안마원","20110530134743","I","2021-07-02 00:23:01.0","안마원","343660.426833284","191976.294394759","안마원","2","","","","","4","","113.6",
"929","의료유사업","01_01_10_P","5670000","PHMB420075670062042400002","20071001","","03","폐업","03","폐업","20150427","","","","055-276-8505","","641821","경상남도 창원시 의창구 봉곡동 39-5번지 4,5층","경상남도 창원시 의창구 원이대로285번길 11 (봉곡동, 4,5층)","641821","멤버스안마시술소","20150427134810","I","2021-07-02 00:23:01.0","안마시술소","350269.201902589","195035.655289474","안마시술소","2","","","","","17","","629",
"930","의료유사업","01_01_10_P","5670000","PHMB420055670066042400001","20051114","","03","폐업","03","폐업","20141201","","","","244-2468","","631860","경상남도 창원시 마산합포구 오동동 316번지 7호","경상남도 창원시 마산합포구 해안대로 393 (오동동)","631860","비엠더블유안마시술소","20141201155241","I","2021-07-02 00:23:01.0","안마시술소","343981.22315418","190685.876305047","안마시술소","4","","","","","27","","810.95",
"931","의료유사업","01_01_10_P","5670000","PHMB420055670066042400002","20051012","","03","폐업","03","폐업","20130513","","","","055-224-2528","","631441","경상남도 창원시 마산합포구 신포동1가 63번지 4호","경상남도 창원시 마산합포구 해안대로 300 (신포동1가)","631441","콜라안마시술소","20130514134924","I","2021-07-02 00:23:01.0","안마시술소","343248.272947239","190004.967790763","안마시술소","2","","","","","14","","272",
"932","의료유사업","01_01_10_P","5670000","PHMB420065670066042400001","20060821","","03","폐업","03","폐업","20150325","","","","232-2984","","630852","경상남도 창원시 마산회원구 내서읍 삼계리 30번지 4호 4층","경상남도 창원시 마산회원구 내서읍 경남대로 913","630852","캐슬안마시술소","20150331131126","I","2021-07-02 00:23:01.0","안마시술소","336900.260734646","193527.379121","안마시술소","3","","","","","12","","315",
"933","의료유사업","01_01_10_P","5670000","PHMB420085670066042400001","20080214","","03","폐업","03","폐업","20120511","","","","055-245-1105","","631450","경상남도 창원시 마산합포구 남성동 249번지 외 2필지 2.3층","경상남도 창원시 마산합포구 어시장9길 106 (남성동)","631450","에스안마시술소","20120511173906","I","2021-07-02 00:23:01.0","안마시술소","343683.360651269","190460.692885884","안마시술소","3","","","","","26","","725.2",
"934","의료유사업","01_01_10_P","5670000","PHMB420125670071042400001","20120102","","03","폐업","03","폐업","20121024","","","","055)552-8242","","645510","경상남도 창원시 진해구 용원동 1212번지 17호 6층","경상남도 창원시 진해구 용원서로39번길 20, 6층 (용원동)","645510","새봄안마시술소","20121026113555","I","2021-07-02 00:23:01.0","안마시술소","365076.632856167","179571.928316039","안마시술소","2","","","","","17","","473",
"935","의료유사업","01_01_10_P","5670000","PHMB420125670062042400001","20120702","","03","폐업","03","폐업","20141231","","","","262-6680","","642030","경상남도 창원시 성산구 중앙동 98번지 3호 전원상가 3층 303호","경상남도 창원시 성산구 용지로 74 (중앙동)","642030","토끼안마시술소","20141231120419","I","2021-07-02 00:23:01.0","안마시술소","352579.076021814","192754.671389001","안마시술소","2","","","","","5","","307.29",
"936","의료유사업","01_01_10_P","5670000","PHMB420125670066042400001","20120716","","03","폐업","03","폐업","20200901","20200602","20201201","","","","630810","경상남도 창원시 마산회원구 양덕동 15번지 27호","경상남도 창원시 마산회원구 양덕북12길 113, 경민씨티빌동 4층 (양덕동)","51364","꿀안마시술소","20200922173720","I","2021-07-02 00:23:01.0","안마시술소","344107.948162421","193662.194403734","안마시술소","3","","","","","11","","353.3",
"937","의료유사업","01_01_10_P","5670000","PHMB420125670066042400002","20120718","","03","폐업","03","폐업","20141201","","","","055-245-1105","","631450","경상남도 창원시 마산합포구 남성동 249번지","경상남도 창원시 마산합포구 어시장9길 106 (남성동)","631450","에스안마시술소","20141206130613","I","2021-07-02 00:23:01.0","안마시술소","343683.360651269","190460.692885884","안마시술소","5","","","","","12","","462.86",
"938","의료유사업","01_01_10_P","5670000","PHMB420125670066042400003","20121012","","03","폐업","03","폐업","20141010","","","","221-4893","","631871","경상남도 창원시 마산합포구 해운동 5번지 88호","경상남도 창원시 마산합포구 월영동서로 17 (해운동)","631871","레드안마시술소","20141010112647","I","2021-07-02 00:23:01.0","안마시술소","342022.038399827","187835.656965569","안마시술소","2","","","","","14","","520.49",
"939","의료유사업","01_01_10_P","5670000","PHMB420025670062042400001","20020514","","03","폐업","03","폐업","20130510","","","","238-1677","","641821","경상남도 창원시 의창구 봉곡동 38번지 2호 수정프라자 2층","경상남도 창원시 의창구 지귀로12번길 34 (봉곡동)","641821","토토안마시술소","20130510110017","I","2021-07-02 00:23:01.0","안마시술소","350305.115284163","194968.859124328","안마시술소","2","","","","","16","","527.83",
"940","의료유사업","01_01_10_P","5670000","PHMB420125670066042400004","20121018","","03","폐업","03","폐업","20130529","","","","","","631060","경상남도 창원시 마산합포구 중성동 20번지 48호","경상남도 창원시 마산합포구 3·15대로 384 (중성동)","631060","안마당 지압원","20130529171256","I","2021-07-02 00:23:01.0","안마원","343308.913423526","191089.23860025","안마원","1","","","","","","","98.56",
"941","의료유사업","01_01_10_P","5670000","PHMB420125670071042400002","20121024","","03","폐업","03","폐업","20130419","","","","055-552-8242","","645510","경상남도 창원시 진해구 용원동 1212번지 17호","경상남도 창원시 진해구 용원서로39번길 20 (용원동)","645510","새봄안마시술소","20130419173555","I","2021-07-02 00:23:01.0","안마시술소","365076.632856167","179571.928316039","안마시술소","2","","","","","17","","473",
"942","의료유사업","01_01_10_P","5670000","PHMB420145670071042400001","20140418","","03","폐업","03","폐업","20150108","","","","055-552-0010","","645510","경상남도 창원시 진해구 용원동 1212번지 17호","경상남도 창원시 진해구 용원서로39번길 20, 6층 (용원동)","645510","새봄안마시술소","20150108191126","I","2021-07-02 00:23:01.0","안마시술소","365076.632856167","179571.928316039","안마시술소","4","","","","","14","","473",
"943","의료유사업","01_01_10_P","5670000","PHMB420105670066042400004","20100309","","03","폐업","03","폐업","20130521","","","","241-7502","","631872","경상남도 창원시 마산합포구 해운동 58번지 3호","경상남도 창원시 마산합포구 해안대로 97 (해운동)","631872","약손안마원","20130521161243","I","2021-07-02 00:23:01.0","안마원","342328.713769664","188381.966883741","안마원","2","","","","","1","","84.19",
"944","의료유사업","01_01_10_P","5670000","PHMB420055670066042400003","20051007","","03","폐업","03","폐업","20160404","20151110","20160309","","","","630808","경상남도 창원시 마산회원구 석전2동 230번지 2호","경상남도 창원시 마산회원구 마산역광장로 30 (석전동)","630808","스머프안마시술소","20160404130331","I","2021-07-02 00:23:01.0","안마시술소","343596.902106536","193944.453445343","안마시술소","2","","","","","20","","795.62",
"945","의료유사업","01_01_10_P","5670000","PHMB420115670071042400001","20110414","","03","폐업","03","폐업","20140708","","","","055-547-4155","","645805","경상남도 창원시 진해구 여좌동 94-42","경상남도 창원시 진해구 여명로 83-3, 1층 (여좌동)","645805","상영안마원","20140708130503","I","2021-07-02 00:23:01.0","안마원","","","안마원","1","","","","","2","","75",
"946","의료유사업","01_01_10_P","5670000","PHMB420115670062042400001","20110520","","03","폐업","03","폐업","20170102","20161111","20171111","","055-261-8944","","642010","경상남도 창원시 성산구 상남동 34-4번지 쌍둥이빌딩 1001,1002호","경상남도 창원시 성산구 단정로 14 (상남동, 쌍둥이빌딩1001,1002호)","51503","파라오안마시술소","20170102145657","I","2021-07-02 00:23:01.0","안마시술소","353078.215053777","192528.227567626","안마시술소","2","","","","","11","","298.25",
"947","의료유사업","01_01_10_P","5670000","PHMB420115670062042400002","20110602","","03","폐업","03","폐업","20120511","","","","055-262-6680","","642030","경상남도 창원시 성산구 중앙동 98-3번지 전원상가 304호","경상남도 창원시 성산구 용지로 74 (중앙동, 전원상가304호)","642845","토끼안마시술소","20120511131022","I","2021-07-02 00:23:01.0","안마시술소","352579.076021814","192754.671389001","안마시술소","2","","","","","10","","307",
"948","의료유사업","01_01_10_P","5670000","PHMB420135670071042400001","20130422","","03","폐업","03","폐업","20140416","","","","055-552-0010","","645510","경상남도 창원시 진해구 용원동 1212번지 17호","경상남도 창원시 진해구 용원서로 39-20 (용원동)","645510","새봄안마시술소","20140416163546","I","2021-07-02 00:23:01.0","안마시술소","365076.632856167","179571.928316039","안마시술소","5","","","","","16","","473",
"949","의료유사업","01_01_10_P","5670000","PHMB420135670447042400001","20130823","","03","폐업","03","폐업","20131227","20131113","20140530","","070-7347-8249","","641465","경상남도 창원시 의창구 팔용동 34번지 16호 신창빌딩 6층","경상남도 창원시 의창구 창원대로363번길 22-17 (팔용동, 신창빌딩 6층)","641847","호안마시술소","20131227111718","I","2021-07-02 00:23:01.0","안마시술소","349262.421044867","194363.720971561","안마시술소","2","","","","","17","","314.37",
"950","의료유사업","01_01_10_P","5670000","PHMB420135670447042400002","20130925","","03","폐업","03","폐업","20151123","","","","606-3131","","","경상남도 창원시 성산구 상남동 103번지 6호 37통 4반","경상남도 창원시 성산구 마디미로10번길 7 (상남동)","51495","두손안마원","20151123170839","I","2021-07-02 00:23:01.0","안마원","353375.179162231","192080.898901984","안마원","2","","","","","","","149.94",
"951","의료유사업","01_01_10_P","5670000","PHMB420145670447042400001","20140225","","03","폐업","03","폐업","20170110","","","","262-1038","","642832","경상남도 창원시 성산구 상남동 18번지 4호 아도니스빌딩 5,6층","경상남도 창원시 성산구 마디미로27번길 12 (상남동)","51496","플레이보이안마시술소","20170110144921","I","2021-07-02 00:23:01.0","안마시술소","353346.648234769","192645.670297486","안마시술소","3","","","","","18","","550.25",
"952","의료유사업","01_01_10_P","5670000","PHMB420035670062042400001","20030502","","03","폐업","03","폐업","20150423","","","","055-286-6627","","642010","경상남도 창원시 성산구 상남동 34-5번지 상하이빌딩6층","경상남도 창원시 성산구 단정로 18 (상남동, 상하이빌딩6층)","642832","오렌지안마시술소","20150423102157","I","2021-07-02 00:23:01.0","안마시술소","353102.759595174","192513.748222904","안마시술소","2","","","","","11","","270",
"953","의료유사업","01_01_10_P","5670000","PHMB420015670062042400001","20010707","","03","폐업","03","폐업","20150713","","","","055-277-9313","","641270","경상남도 창원시 의창구 봉곡동 35-5번지 4층","경상남도 창원시 의창구 지귀로12번길 18 (봉곡동, 4층)","641821","명품안마시술소","20150713130814","I","2021-07-02 00:23:01.0","안마시술소","350180.912004704","195054.533124284","안마시술소","2","","","","","10","","358",
"954","의료유사업","01_01_10_P","5670000","PHMB420115670071042400002","20110622","","03","폐업","03","폐업","20160328","20150127","20150426","","055-552-9067","","645510","경상남도 창원시 진해구 용원동 1212-11","경상남도 창원시 진해구 용원서로39번길 6, 4층 (용원동)","51605","불꽃안마시술소","20160328151635","I","2021-07-02 00:23:01.0","안마시술소","365215.694804682","179540.767849374","안마시술소","2","","","","","10","","507.62",
"955","의료유사업","01_01_10_P","5670000","PHMB420155670071042400001","20150108","","03","폐업","03","폐업","20161024","20160615","20161115","","055-552-0010","","645510","경상남도 창원시 진해구 용원동 1212번지 17호","경상남도 창원시 진해구 용원서로39번길 20, 6층 (용원동)","51605","새봄안마시술소","20161024172103","I","2021-07-02 00:23:01.0","안마시술소","365076.632856167","179571.928316039","안마시술소","2","","","","","14","","473",
"956","의료유사업","01_01_10_P","5670000","PHMB420155670554042400002","20150921","","03","폐업","03","폐업","20160108","","","","277-0177","","","경상남도 창원시 의창구 봉곡동 35번지 5호 이득빌딩4층","경상남도 창원시 의창구 지귀로12번길 18 (봉곡동, 이득빌딩4층)","51176","명품안마시술소","20160108161730","I","2021-07-02 00:23:01.0","안마시술소","350180.912004704","195054.533124284","안마시술소","2","","","","","6","","279.36",
"957","의료유사업","01_01_10_P","5670000","PHMB420155670554042400003","20151015","","03","폐업","03","폐업","20171204","","","","261-8848","","","경상남도 창원시 성산구 상남동 34번지 5호 상하이빌딩6층","경상남도 창원시 성산구 단정로 18 (상남동, 상하이빌딩6층)","51503","트로이안마시술소","20171205103949","I","2021-07-02 00:23:01.0","안마시술소","353102.759595174","192513.748222904","안마시술소","2","","","","","10","","375.98",
"958","의료유사업","01_01_10_P","5670000","PHMB420165670066042400002","20160819","","03","폐업","03","폐업","20201015","","","","","","","경상남도 창원시 마산회원구 내서읍 삼계리 30번지 4호","경상남도 창원시 마산회원구 내서읍 경남대로 913, 4층 (리오빌딩)","51237","캐슬안마시술소","20201016084536","I","2021-07-02 00:23:01.0","안마시술소","336900.260734646","193527.379121","안마시술소","3","","","","","14","56","397.74",
"959","의료유사업","01_01_10_P","5670000","PHMB420165670071042400001","20161230","","03","폐업","03","폐업","20170605","","","","055-547-4155","","","경상남도 창원시 진해구 여좌동 111-16 삼화페인트","경상남도 창원시 진해구 여좌로 64, 삼화페인트 (여좌동)","51695","상영침안마지압원","20201201145832","I","2021-07-02 00:23:01.0","안마원","351420.650654505","185477.765541514","안마원","1","","","","","1","","29.7",
"960","의료유사업","01_01_10_P","5670000","PHMB420175670066042400001","20170118","","03","폐업","03","폐업","20190823","","","","055-291-7731","","","경상남도 창원시 마산회원구 석전동 232번지 3호","경상남도 창원시 마산회원구 양덕로 193 (석전동, 제일빌딩)","51316","제일안마센터","20190816143506","I","2021-07-02 00:23:01.0","안마원","343737.263696654","193886.70340852","안마원","2","","","","","","","154",
"961","의료유사업","01_01_10_P","5670000","PHMB420175670066042400003","20170510","","03","폐업","03","폐업","20200925","","","","055-244-7722","","","경상남도 창원시 마산합포구 산호동 11번지 68호","경상남도 창원시 마산합포구 산호북1길 74, 2층 (산호동)","51330","행운안마지압원","20201215182517","I","2021-07-02 00:23:01.0","안마원","344210.487135668","192297.537076527","안마원","1","","","","","1","","119",
"962","의료유사업","01_01_10_P","5670000","PHMB420175670066042400004","20170614","","03","폐업","03","폐업","20200122","","","","","","","경상남도 창원시 마산회원구 구암동 1348번지 10호","경상남도 창원시 마산회원구 구암북2길 110 (구암동)","51203","웰빙안마센터","20200710141245","I","2021-07-02 00:23:01.0","안마원","345311.049088988","196293.695988416","안마원","1","","","","","","","36",
"963","의료유사업","01_01_10_P","5670000","PHMB420175670554042400002","20170720","","03","폐업","03","폐업","20180516","","","","055-298-4385","","","경상남도 창원시 의창구 서상동 459번지 2호 1층","경상남도 창원시 의창구 의창대로211번길 31, 1층 (서상동, 한일종합장식)","51195","유일안마원","20180516162037","I","2021-07-02 00:23:01.0","안마원","347374.097228517","197333.170689946","안마원","","","","","","","","27",
"964","의료유사업","01_01_10_P","5670000","PHMB420175670554042400003","20170914","","03","폐업","03","폐업","20190304","","","","070-8912-4004","","","경상남도 창원시 성산구 상남동 34번지 4호 쌍둥이빌딩 1001, 1002호","경상남도 창원시 성산구 단정로 14, 10층 1001,1002호 (상남동, 쌍둥이빌딩)","51503","파라오안마시술소","20190305162214","I","2021-07-02 00:23:01.0","안마시술소","353078.215053777","192528.227567626","안마시술소","3","","","","","10","","298",
"965","의료유사업","01_01_10_P","5330000","PHMB420185330023042400001","20180321","","03","폐업","03","폐업","20181001","","","","","","","경상남도 통영시 광도면 죽림리 1574번지 54호 제이드","경상남도 통영시 광도면 죽림2로 55-67, 4층","53015","퀸안마시술소","20181001172313","U","2018-10-03 02:35:28.0","안마시술소","329926.262926023","154422.389552704","안마시술소","2","","","","","8","","347.97",
"966","의료유사업","01_01_10_P","5330000","PHMB420135330023042400001","20131004","","03","폐업","03","폐업","20171025","","","","055-648-5688","","","","경상남도 통영시 광도면 죽림2로 55-67, 4층","53015","큐안마시술소","20171025151639","I","2018-08-31 23:59:59.0","안마시술소","329926.262926023","154422.389552704","안마시술소","7","","","","","6","","347.97",
"967","의료유사업","01_01_10_P","5360000","PHMB420045360021042400001","20041028","","03","폐업","03","폐업","20090602","","","","354-1983","","627801","경상남도 밀양시 가곡동 572번지","","","기미지압원","20090602155953","I","2018-08-31 23:59:59.0","안마원","","","안마원","1","","","","","","","8.96",
"968","의료유사업","01_01_10_P","5360000","PHMB420155360021042400001","20150127","","03","폐업","03","폐업","20220103","","","","055-351-2056","","627130","경상남도 밀양시 내이동","경상남도 밀양시 북성로 22 (내이동)","50423","밀양안마원","20220103130619","U","2022-01-05 02:40:00.0","안마원","358283.741687411","223476.157373986","안마원","3","0","0","0","0","2","0","196.1",
"969","의료유사업","01_01_10_P","4220000","PHMB420114220024042400001","20110517","","03","폐업","03","폐업","20120320","","","","552-6537","","235030","강원도 태백시 소도동 10번지 22호","강원도 태백시 소도길 40 (소도동)","","소도안마원","20120320165025","I","2018-08-31 23:59:59.0","안마원","375513.048162195","405637.102286772","안마원","1","","","","","3","","42",
"970","의료유사업","01_01_10_P","4180000","PHMB419754180029042400001","19750303","","03","폐업","03","폐업","20151119","","","","","","200111","강원도 춘천시 소양로1가 92번지 48호","강원도 춘천시 소양정길 16-1 (소양로1가)","","박산일 지압시술원","20151119144244","I","2018-08-31 23:59:59.0","안마원","263971.45263731","488017.784318567","안마원","1","","","","","1","","150",
"971","의료유사업","01_01_10_P","4180000","PHMB419984180029042400001","19980421","","03","폐업","03","폐업","20130528","20121207","20130228","","033-243-9988","","200030","강원도 춘천시 요선동 212번지 2호","강원도 춘천시 소양고개길 46 (요선동)","200030","귀빈안마시술소","20130528163501","I","2018-08-31 23:59:59.0","안마시술소","263847.689815308","486866.497847132","안마시술소","2","","","","","10","","484.16",
"972","의료유사업","01_01_10_P","4180000","PHMB420024180029042400001","20020225","","03","폐업","03","폐업","20180630","","","","033)252-4434","","200944","강원도 춘천시 퇴계동 729번지 4호","강원도 춘천시 춘천로 34 (퇴계동)","24367","강남안마시술소","20180703142604","I","2018-08-31 23:59:59.0","안마시술소","263553.061972726","485255.137924169","안마시술소","2","","","","","23","","628.13",
"973","의료유사업","01_01_10_P","4180000","PHMB420044180029042400001","20040721","","03","폐업","03","폐업","","","20160920","","070-8793-6640","","200091","강원도 춘천시 효자1동 305번지 2호 3층","강원도 춘천시 공지로 263, 3층 (효자동)","200953","몽 안마시술소","20161114134939","I","2018-08-31 23:59:59.0","안마시술소","264605.737068491","484979.301556598","안마시술소","2","","","","","18","","406.65",
"974","의료유사업","01_01_10_P","4180000","PHMB420084180029042400002","20081107","","03","폐업","03","폐업","20180620","","","","033-254-1133","","200950","강원도 춘천시 효자3동 641번지 6호","강원도 춘천시 춘천로 199 (효자동)","","킹안마시술소","20180621155703","I","2018-08-31 23:59:59.0","안마시술소","264702.174234341","486310.528026106","안마시술소","2","","","","","8","","499.55",
"975","의료유사업","01_01_10_P","4180000","PHMB420094180029042400002","20090327","","03","폐업","03","폐업","20120312","","","","033)244-0579","","200041","강원도 춘천시 중앙로1가 91번지 지하상가 다열 73호","","","건강안마센터안마원","20120312114828","I","2018-08-31 23:59:59.0","안마원","264063.07608168","486899.162452165","안마원","1","","","","","1","","26.58",
"976","의료유사업","01_01_10_P","4180000","PHMB420094180029042400003","20090818","","03","폐업","03","폐업","20091231","","","","033)255-1144","","200080","강원도 춘천시 운교동 168번지","강원도 춘천시 금강로 93 (운교동)","","전통안마원","20100111162541","I","2018-08-31 23:59:59.0","안마원","264223.354841904","486332.690778501","안마원","1","","","","","","","83.3",
"977","의료유사업","01_01_10_P","4180000","PHMB420124180029042400001","20120524","","03","폐업","03","폐업","20121207","","","","264-8456","","200170","강원도 춘천시 퇴계동 975번지 9호 1층","강원도 춘천시 퇴계로146번길 8-8, 1층 (퇴계동)","200170","파랑새안마원","20121207135716","I","2018-08-31 23:59:59.0","안마원","264584.988507972","484323.832053488","안마원","1","","","","","","0","120",
"978","의료유사업","01_01_10_P","4180000","PHMB420124180029042400002","20121217","","03","폐업","03","폐업","20130521","","","","033-264-8456","","200170","강원도 춘천시 퇴계동 975번지 9호","강원도 춘천시 퇴계로146번길 8-8 (퇴계동)","200945","춘천건강안마원","20130521113045","I","2018-08-31 23:59:59.0","안마원","264584.988507972","484323.832053488","안마원","1","","","","","5","","120",
"979","의료유사업","01_01_10_P","4180000","PHMB420144180029042400001","20140923","","03","폐업","03","폐업","20170210","","","","033-242-7848","","","","강원도 춘천시 우두벌1길 79 (사농동)","24222","함께하는 선교시술원","20170210165357","I","2018-08-31 23:59:59.0","안마원","264198.326363058","489709.570345352","안마원","","","","","","1","","36",
"980","의료유사업","01_01_10_P","4180000","PHMB420154180029042400001","20151014","","03","폐업","03","폐업","20160831","","","","033-264-7582","","","강원도 춘천시 동내면 거두리 946번지 10호","강원도 춘천시 동내면 거두택지길 16-1, 2층 201호","24405","다온클린안마원","20160831173015","I","2018-08-31 23:59:59.0","안마원","266226.51883445","483663.891332337","안마원","1","","","","","1","","30.57",
"981","의료유사업","01_01_10_P","4180000","PHMB420174180029042400001","20170208","","03","폐업","03","폐업","20170412","","","","033)241-9963","","","강원도 춘천시 운교동 179번지 16호 2층","강원도 춘천시 춘천로 170, 2층 (운교동)","24329","우성진안마원","20170412100325","I","2018-08-31 23:59:59.0","안마원","264418.851821577","486207.946022308","안마원","0","","","","","2","","49.5",
"982","의료유사업","01_01_10_P","4190000","PHMB420084190023042400001","20080124","","03","폐업","03","폐업","20090129","","","","033-764-9551","","220070","강원도 원주시 인동 38번지 18호","강원도 원주시 중앙로 28 (인동)","","에이스안마시술소","20090129134229","I","2018-08-31 23:59:59.0","안마시술소","284468.787468416","427578.009730063","안마시술소","2","","","","","13","","539.45",
"983","의료유사업","01_01_10_P","4190000","PHMB420074190023042400002","20070420","","03","폐업","03","폐업","20190220","","","","033-746-7557","","","","강원도 원주시 행구로 8, 2층 (개운동)","26444","예약손안마원","20190220114520","U","2019-02-22 02:40:00.0","안마원","284709.925750371","426983.944904552","안마원","","","","","","1","","80.3",
"984","의료유사업","01_01_10_P","4190000","PHMB420074190023042400003","20070427","","03","폐업","03","폐업","20090218","","","","033-763-6385","","220070","강원도 원주시 인동 264번지 7호","강원도 원주시 원일로 14-1 (인동)","","홈런안마시술소","20090218181818","I","2018-08-31 23:59:59.0","안마시술소","284496.329517327","427431.928791516","안마시술소","2","","","","","15","","458.37",
"985","의료유사업","01_01_10_P","4190000","PHMB420074190023042400004","20040510","","03","폐업","03","폐업","20180928","","","","033-732-0234","","","강원도 원주시 단계동 853번지 5호 남원주타워 6층, 7층","강원도 원주시 북원로 2235-6, 6,7층 (단계동, 남원주타워)","26436","타워안마시술소","20180928113623","U","2018-09-28 23:59:59.0","안마시술소","282477.150618431","427486.62048978","안마시술소","6","","","","","9","","325",
"986","의료유사업","01_01_10_P","4190000","PHMB420034190023042400002","20031231","","03","폐업","03","폐업","20110201","20091127","20100530","","033-746-3400","","220801","강원도 원주시 문막읍 건등1리 203번지 10호","강원도 원주시 문막읍 왕건로 9","","성지안마시술소","20110201143227","I","2018-08-31 23:59:59.0","안마시술소","273591.138205627","424622.31739396","안마시술소","2","","","","","15","","792",
