번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),의료유사업종별명,종업원수,자격증소유자수,보조종업원수,시설관리자수,기타종업원수,병상수,욕실면적,총면적
840,의료유사업,01_01_10_P,3740000,PHMB420163740033042400002,20160718,,3,폐업,3,폐업,20180504,20171107,20180507,,031-224-0841-2,,,경기도 수원시 팔달구 인계동 1020번지 2호,"경기도 수원시 팔달구 인계로94번길 27-5 (인계동, 선우빌딩)",16489,수플러스안마시술소,2.01805E+13,I,23:26.0,안마시술소,202399.1771,418344.4148,안마시술소,3,,,,,8,,433.6
841,의료유사업,01_01_10_P,3740000,PHMB420163740031042400001,20161223,,3,폐업,3,폐업,20210725,,,,,,,경기도 수원시 장안구 연무동 21번지 유천프라자,"경기도 수원시 장안구 창훈로66번길 11-3, 가동 215호 (연무동, 유천프라자)",16214,민속지압안마원,2.02109E+13,U,40:00.0,안마원,202452.4722,421775.1953,안마원,1,0,0,0,0,2,0,71.2
842,의료유사업,01_01_10_P,3740000,PHMB420023740033042400001,20020207,,3,폐업,3,폐업,20090429,,,,031-226-8242,,442832,경기도 수원시팔달구 인계동 953번지 12호,경기도 수원시 팔달구 경수대로565번길 9 (인계동),,스타안마시술소,2.00904E+13,I,23:26.0,안마시술소,202549.5031,419362.2144,안마시술소,2,,,,,1,,384.42
843,의료유사업,01_01_10_P,3740000,PHMB420033740033042400001,20030213,,3,폐업,3,폐업,20100208,,,,031-221-6633,,442834,경기도 수원시팔달구 인계동 1025번지 11호,경기도 수원시 팔달구 경수대로446번길 14 (인계동),,썬안마시술소,2.01002E+13,I,23:26.0,안마시술소,202348.592,418186.2395,안마시술소,2,,,,,28,,636
844,의료유사업,01_01_10_P,3740000,PHMB420033740033042400002,20030219,,3,폐업,3,폐업,20100317,,,,031-235-5316,,442832,경기도 수원시팔달구 인계동 954번지 6호,경기도 수원시 팔달구 경수대로553번길 18-16 (인계동),,명성안마시술소,2.01003E+13,I,23:26.0,안마시술소,202441.9601,419321.9401,안마시술소,5,,,,,21,,531.58
845,의료유사업,01_01_10_P,3740000,PHMB420033740033042400003,20030409,,3,폐업,3,폐업,20130806,,,,031-232-2979,,442834,경기도 수원시팔달구 인계동 1037번지 7호,경기도 수원시 팔달구 인계로138번길 9 (인계동),,뉴두리안마시술소,2.01308E+13,I,23:26.0,안마시술소,202835.1802,418292.1558,안마시술소,4,,,,,30,,783.96
846,의료유사업,01_01_10_P,3740000,PHMB420043740033042400001,20040422,,3,폐업,3,폐업,20090731,,,,031302-7799,,442816,경기도 수원시팔달구 우만동 146번지 1호,,,송림안마시술소,2.00907E+13,I,23:26.0,안마시술소,203065.6089,419530.06,안마시술소,2,,,,,22,,612
847,의료유사업,01_01_10_P,3740000,PHMB420043740033042400002,20040904,,3,폐업,3,폐업,20100917,,,,031-222-0567,,442834,경기도 수원시팔달구 인계동 1032번지 3호 (6층7층),"경기도 수원시 팔달구 인계로108번길 39-12 (인계동,(6층7층))",,플러스안마시술소,2.01009E+13,I,23:26.0,안마시술소,202538.2785,418194.6007,안마시술소,3,,,,,16,,717.5
848,의료유사업,01_01_10_P,3740000,PHMB420043740033042400003,20040904,,3,폐업,3,폐업,20130607,20130311,20130610,,031-238-2234,,442834,"경기도 수원시팔달구 인계동 1039번지 3호 (3,4,5층)","경기도 수원시 팔달구 권광로207번길 29 (인계동,(3,4,5층))",,초이스안마시술소,2.01306E+13,I,23:26.0,안마시술소,202736.897,418265.4728,안마시술소,4,,,,,7,,714.74
849,의료유사업,01_01_10_P,3740000,PHMB420043740033042400004,20041022,,3,폐업,3,폐업,20080828,,,,031-271-0163,,442837,"경기도 수원시팔달구 지동 365번지 20호 (1.,2,3,4,5층)","경기도 수원시 팔달구 중부대로 57 (지동,(1.,2,3,4,5층))",,드림안마시술소,2.01003E+13,I,23:26.0,안마시술소,201991.5609,419337.3725,안마시술소,3,,,,,24,,730.68
850,의료유사업,01_01_10_P,5020000,PHMB420165020056042400001,20161020,,3,폐업,3,폐업,20190228,,,,054-252-7750,,,,경상북도 포항시 북구 삼호로245번길 6 (두호동),37625,쿨 안마시술소,2.01902E+13,U,40:00.0,안마시술소,414232.4386,287060.0363,안마시술소,2,,,,,12,,243.56
851,의료유사업,01_01_10_P,5020000,PHMB420175020056042400001,20170925,,3,폐업,3,폐업,20201123,,,,,,,,경상북도 포항시 북구 중흥로140번길 7-2 (죽도동),37765,쌍사수 안마원,2.02011E+13,U,40:00.0,안마원,412203,282160,안마원,2,,,,,3,,106.99
852,의료유사업,01_01_10_P,5020000,PHMB420095020056042400001,20090115,,3,폐업,3,폐업,20100312,,,,,,791819,경상북도 포항시북구 죽도동 52번지 10호,경상북도 포항시 북구 중흥로321번길 3 (죽도동),,킹안마시술소,2.01003E+13,I,59:59.0,안마시술소,412998.9275,283746.4245,안마시술소,2,,,,,10,,394
853,의료유사업,01_01_10_P,5020000,PHMB420085020056042400001,20080507,,3,폐업,3,폐업,20090730,,,,275-1333,,791841,경상북도 포항시 북구 죽도동 52번지 1호,경상북도 포항시 북구 죽도로40번길 27 (죽도동),,환상안마시술소,2.00907E+13,I,59:59.0,안마시술소,412985.8709,283754.078,안마시술소,4,,,,,21,,820
854,의료유사업,01_01_10_P,5020000,PHMB420045020056042400001,20040217,,3,폐업,3,폐업,20100330,,,,,,791120,경상북도 포항시 북구 항구동 17번지 85호,경상북도 포항시 북구 해안로 73 (항구동),,로데오안마시술소,2.01003E+13,I,59:59.0,안마시술소,414119.9264,286499.3266,안마시술소,2,,,,,21,,525
855,의료유사업,01_01_10_P,5020000,PHMB419885020055042400001,19880817,,3,폐업,3,폐업,20091104,,,,275-8080,,790826,경상북도 포항시 남구 대잠동 936번지 7호,경상북도 포항시 남구 새천년대로434번길 7 (대잠동),,세븐안마시술소,2.00911E+13,I,59:59.0,안마시술소,411397.8096,281865.2072,안마시술소,2,,,,,20,,750
856,의료유사업,01_01_10_P,5020000,PHMB420085020056042400002,20080523,,3,폐업,3,폐업,20170308,,,,054-272-9154,,791844,경상북도 포항시 북구 죽도동 646번지 22호,경상북도 포항시 북구 중흥로171번길 38 (죽도동),,태양안마시술소,2.01703E+13,I,59:59.0,안마시술소,411956.2898,282678.4374,안마시술소,2,,,,,18,,678.51
857,의료유사업,01_01_10_P,5020000,PHMB420075020055042400001,20070614,,3,폐업,3,폐업,20101026,,,,274-9595,,790150,경상북도 포항시 남구 상도동 909번지 10호,,,그랜드안마시술소,2.0101E+13,I,59:59.0,안마시술소,,,안마시술소,2,,,,,17,,700
858,의료유사업,01_01_10_P,5020000,PHMB420105020056042400005,20100512,,3,폐업,3,폐업,20100517,,,,275-1333,,791050,경상북도 포항시 북구 죽도동 52번지 10호,경상북도 포항시 북구 중흥로321번길 3 (죽도동),,킹안마시술소,2.01112E+13,I,59:59.0,안마시술소,412998.9275,283746.4245,안마시술소,3,,,,,13,,422.54
859,의료유사업,01_01_10_P,5020000,PHMB420105020056042400006,20100517,,3,폐업,3,폐업,20110810,,,,275-1333,,791050,경상북도 포항시 북구 죽도동 52번지 1호,경상북도 포항시 북구 죽도로40번길 27 (죽도동),,킹안마시술소,2.01203E+13,I,59:59.0,안마시술소,412985.8709,283754.078,안마시술소,3,,,,,17,,422.54
860,의료유사업,01_01_10_P,5020000,PHMB420105020055042400001,20100730,,3,폐업,3,폐업,20150827,,,,275-8080,,790826,경상북도 포항시 남구 대잠동 936번지 7호,경상북도 포항시 남구 새천년대로434번길 7 (대잠동),37761,세븐안마시술소,2.01508E+13,I,59:59.0,안마시술소,411397.8096,281865.2072,안마시술소,2,,,,,26,,767.43
861,의료유사업,01_01_10_P,3200000,PHMB420093200033042400004,20091116,,3,폐업,3,폐업,20180228,,,,883-9981,,151029,서울특별시 관악구 서원동 1639번지 59호,서울특별시 관악구 관천로 34 (신림동),,이슈안마시술소,2.01806E+13,I,59:59.0,안마시술소,193543.1535,442320.9113,안마시술소,2,,,,,5,27,371
862,의료유사업,01_01_10_P,5020000,PHMB420015020055042400001,20010920,,3,폐업,3,폐업,20190507,,,,291-9772,,790908,경상북도 포항시 남구 오천읍 용덕리 348번지 9호,경상북도 포항시 남구 오천읍 해병로217번길 22-2,37906,기성안마원,2.01905E+13,U,40:00.0,안마원,417510.6887,277673.3009,안마원,1,,,,,,,50
863,의료유사업,01_01_10_P,5020000,PHMB420065020055042400001,20061224,,3,폐업,3,폐업,20090730,,,,282-5121,,790823,경상북도 포항시 남구 대도동 125번지 17호,경상북도 포항시 남구 상공로104번길 41 (대도동),,드림안마시술소,2.00909E+13,I,59:59.0,안마시술소,413067.1677,281991.9662,안마시술소,2,,,,,16,,700
864,의료유사업,01_01_10_P,5020000,PHMB420085020055042400001,20081114,,3,폐업,3,폐업,20091231,,,,282-9631,,790863,경상북도 포항시 남구 해도동 118번지 3호,경상북도 포항시 남구 문예로100번길 34 (해도동),,SM안마시술소,2.00912E+13,I,59:59.0,안마시술소,413510.917,281905.67,안마시술소,2,,,,,17,,700
865,의료유사업,01_01_10_P,5020000,PHMB420095020056042400002,20090730,,3,폐업,3,폐업,20100205,,,,054)275-1333,,791841,경상북도 포항시 북구 죽도동 52번지 1호,경상북도 포항시 북구 죽도로40번길 27 (죽도동),,환상안마시술소,2.01112E+13,I,59:59.0,안마시술소,412985.8709,283754.078,안마시술소,2,,,,,21,,817
866,의료유사업,01_01_10_P,5020000,PHMB420095020056042400003,20090730,,3,폐업,3,폐업,20100205,,,,275-1333,,791841,경상북도 포항시 북구 죽도동 52번지 1호,경상북도 포항시 북구 죽도로40번길 27 (죽도동),,환상안마시술소,2.01002E+13,I,59:59.0,안마시술소,412985.8709,283754.078,안마시술소,3,,,,,21,,817
867,의료유사업,01_01_10_P,5020000,PHMB420095020055042400001,20090910,,3,폐업,3,폐업,20140526,,,,054-283-9632,,790826,경상북도 포항시 남구 대잠동 946번지,경상북도 포항시 남구 새천년대로434번길 20 (대잠동),,피쉬 안마시술소,2.01405E+13,I,59:59.0,안마시술소,411488.7731,281769.9162,안마시술소,2,,,,,16,,818.11
868,의료유사업,01_01_10_P,5020000,PHMB420095020055042400002,20091130,,3,폐업,3,폐업,20180626,,,,273-5807,,790839,경상북도 포항시 남구 해도동 431번지 3호,경상북도 포항시 남구 상공로 213 (해도동),37796,오투안마시술소,2.01806E+13,I,59:59.0,안마시술소,413499.212,282868.4149,안마시술소,2,,,,,12,,343.98
869,의료유사업,01_01_10_P,5020000,PHMB420105020056042400001,20100205,,3,폐업,3,폐업,20110729,,,,275-1333,,791841,경상북도 포항시 북구 죽도동 52번지 1호,경상북도 포항시 북구 죽도로40번길 27 (죽도동),,환상안마시술소,2.01203E+13,I,59:59.0,안마시술소,412985.8709,283754.078,안마시술소,3,,,,,21,,817
870,의료유사업,01_01_10_P,5020000,PHMB420105020056042400002,20100209,,3,폐업,3,폐업,20100827,,,,278-3133,,791841,경상북도 포항시 북구 죽도동 58번지 5호,경상북도 포항시 북구 양학천로 199 (죽도동),,사보이안마시술소,2.01008E+13,I,59:59.0,안마시술소,413245.0328,283484.1157,안마시술소,5,,,,,24,,829
871,의료유사업,01_01_10_P,5020000,PHMB420105020056042400003,20100205,,3,폐업,3,폐업,20100823,,,,275-1334,,791841,경상북도 포항시 북구 죽도동 52번지 1호,경상북도 포항시 북구 죽도로40번길 27 (죽도동),,황실안마시술소,2.01008E+13,I,59:59.0,안마시술소,412985.8709,283754.078,안마시술소,3,,,,,21,,817
872,의료유사업,01_01_10_P,5020000,PHMB420105020056042400008,20100823,,3,폐업,3,폐업,20170823,,,,054-275-1333,,791841,경상북도 포항시 북구 죽도동 52번지 1호,경상북도 포항시 북구 죽도로40번길 27 (죽도동),37745,텐프로안마시술소,2.01708E+13,I,59:59.0,안마시술소,412985.8709,283754.078,안마시술소,4,,,,,28,,819.56
873,의료유사업,01_01_10_P,5020000,PHMB420115020056042400001,20110603,,3,폐업,3,폐업,20110725,,,,274-7744,,791842,경상북도 포항시 북구 죽도동 156번지 38호,경상북도 포항시 북구 중앙로 249 (죽도동),,바른자세안마원,2.01107E+13,I,59:59.0,안마원,413101.9009,284215.1325,안마원,1,,,,,,,110
874,의료유사업,01_01_10_P,5020000,PHMB420125020056042400001,20120418,,3,폐업,3,폐업,20121122,,,,272-9323,,791050,경상북도 포항시 북구 죽도동 44번지 6호,경상북도 포항시 북구 중흥로 343-1 (죽도동),791841,케어안마원,2.01211E+13,I,59:59.0,안마원,413144.6183,283932.1393,안마원,2,,,,,,,202
875,의료유사업,01_01_10_P,5020000,PHMB420125020056042400002,20120702,,3,폐업,3,폐업,20140204,20131030,20140130,,054-281-6540,,791050,경상북도 포항시 북구 죽도동 58번지 5호,경상북도 포항시 북구 양학천로 199 (죽도동),791050,사보이안마시술소,2.01402E+13,I,59:59.0,안마시술소,413245.0328,283484.1157,안마시술소,4,,,,,25,,829.93
876,의료유사업,01_01_10_P,5020000,PHMB420125020055042400001,20121011,,3,폐업,3,폐업,20140120,,,,286-0874,,790883,경상북도 포항시 남구 연일읍 생지리 110번지 1호,경상북도 포항시 남구 연일읍 연일중앙로 19-19,790883,임난희안마원,2.01401E+13,I,59:59.0,안마원,411483.1559,280094.9651,안마원,1,,,,,,,49.5
877,의료유사업,01_01_10_P,5020000,PHMB420155020055042400001,20150828,,3,폐업,3,폐업,20191216,,,,273-8857,,,"경상북도 포항시 남구 대도동 14번지 7호 금성대도타운 1층 106호,107호","경상북도 포항시 남구 양학천로136번길 37 (대도동, 금성대도타운)",37778,포항안마원,2.01912E+13,U,40:00.0,안마원,413074.2338,282979.2779,안마원,1,,,,,,,71
878,의료유사업,01_01_10_P,5020000,PHMB420155020055042400002,20150907,,3,폐업,3,폐업,20210217,,,,275-8080,,,경상북도 포항시 남구 대잠동 936번지 7호,"경상북도 포항시 남구 새천년대로434번길 7, 1층~3층동 (대잠동)",37761,세븐 안마시술소,2.02102E+13,U,40:00.0,안마시술소,411397.8096,281865.2072,안마시술소,2,,,,,27,,748.93
879,의료유사업,01_01_10_P,5020000,PHMB420165020055042400001,20160106,,3,폐업,3,폐업,20210319,,,,249-1245,,,경상북도 포항시 남구 상도동 18번지 99호 (2층),"경상북도 포항시 남구 상공로 93, 2층 (상도동)",37764,참살이 안마원,2.02103E+13,U,40:00.0,안마원,412634.9972,282129.9815,안마원,,,,,,165,,165
880,의료유사업,01_01_10_P,5020000,PHMB420165020055042400002,20160114,,3,폐업,3,폐업,20190412,,,,054-615-1717,,,경상북도 포항시 남구 해도동 72번지 8호,경상북도 포항시 남구 중앙로67번길 14-2 (해도동),37815,동해지압안마원,2.01904E+13,U,40:00.0,안마원,413405.3521,282468.1525,안마원,1,,,,,3,0,38.75
881,의료유사업,01_01_10_P,5690000,PHMB420185690045042400002,20180802,,3,폐업,3,폐업,20190509,,,,,,,세종특별자치시 조치원읍 상리 166번지 2층,"세종특별자치시 조치원읍 새내10길 59, 2층",30026,에덴건강안마원,2.01905E+13,U,40:00.0,안마원,226908.645,344446.2244,안마원,1,,,,,3,,100.15
882,의료유사업,01_01_10_P,4180000,PHMB420204180029042400003,20200529,,3,폐업,3,폐업,20200626,,,,,,,,강원도 춘천시 춘주로201번길 11 (퇴계동),24443,손짓안마원,2.02006E+13,U,40:00.0,안마원,263906.0348,484539.4283,안마원,1,,,,,1,,58
883,의료유사업,01_01_10_P,3330000,PHMB420203330024042400001,20200519,,3,폐업,3,폐업,20210208,,,,051-746-5823,,,부산광역시 해운대구 우동 1498번지 트럼프월드센텀아파트,"부산광역시 해운대구 센텀동로 9, 224호 (우동, 트럼프월드센텀아파트)",48059,드럼프 안마지압원,2.02102E+13,U,40:00.0,안마원,394201.8159,187760.8602,안마원,1,,,,,3,,72.83
884,의료유사업,01_01_10_P,4540000,PHMB420204540026042400001,20200519,,3,폐업,3,폐업,20210805,,,,041-745-6985,,,충청남도 논산시 강경읍 황산리 149번지 1호,충청남도 논산시 강경읍 황산길 26,32930,강경안마원,2.02108E+13,U,40:00.0,안마원,200964.475,294933.4887,안마원,0,0,0,0,0,2,0,145.44
885,의료유사업,01_01_10_P,3630000,PHMB420163630020042400001,20160909,,3,폐업,3,폐업,20161223,,,,070-8676-0812,,,광주광역시 광산구 송정동 866번지 15호,"광주광역시 광산구 송정로 13, 3층 (송정동)",62436,마디지압원,2.01612E+13,I,59:59.0,안마원,181063.1782,182006.5117,안마원,1,,,,,1,0,11
886,의료유사업,01_01_10_P,3680000,PHMB420023680022042400001,20021121,,3,폐업,3,폐업,20190628,,,,936-1120,,306815,대전광역시 대덕구 신탄진동 141번지 15호,대전광역시 대덕구 신탄진동로7번길 38 (신탄진동),,루비안마시술소,2.01906E+13,U,40:00.0,안마시술소,238481.9759,327676.7147,안마시술소,2,,,,,10,45.28,625.05
887,의료유사업,01_01_10_P,3680000,PHMB420063680022042400001,20061213,,3,폐업,3,폐업,20131001,20130701,20140630,,042-934-1881,,306815,대전광역시 대덕구 신탄진동 154번지 16호,대전광역시 대덕구 신탄진동로7번길 2 (신탄진동),306815,리젠드안마시술소,2.0131E+13,I,59:59.0,안마시술소,238535.0038,327519.1899,안마시술소,4,,,,,26,,787.22
888,의료유사업,01_01_10_P,3680000,PHMB420053680022042400001,20050725,,3,폐업,3,폐업,20091216,20090101,20090630,,042-627-7045,,306824,대전광역시 대덕구 중리동 401번지 31호,대전광역시 대덕구 중리로7번길 14-16 (중리동),,물안마시술소,2.00912E+13,I,59:59.0,안마시술소,238040.4726,317812.509,안마시술소,2,,,,,28,,821.14
889,의료유사업,01_01_10_P,3680000,PHMB419973680022042400001,19970521,,3,폐업,3,폐업,20090519,20090407,20091231,,932-7343,,306815,대전광역시 대덕구 신탄진동 120번지 3호,대전광역시 대덕구 신탄진로844번길 50-1 (신탄진동),,신탄안마시술소,2.00905E+13,I,59:59.0,안마시술소,238511.5832,327969.3179,안마시술소,2,,,,,21,,768.82
890,의료유사업,01_01_10_P,3680000,PHMB420093680022042400001,20090903,,3,폐업,3,폐업,20101005,,,,042-622-8788,,306824,대전광역시 대덕구 중리동 401번지 17호,대전광역시 대덕구 중리로7번길 6-20 (중리동),,황제안마시술소,2.0101E+13,I,59:59.0,안마시술소,238069.7993,317829.5574,안마시술소,5,,,,,16,,479.69
891,의료유사업,01_01_10_P,3680000,PHMB420103680022042400001,20101005,,3,폐업,3,폐업,20131224,,,,042-934-4032,,306810,대전광역시 대덕구 석봉동 417번지 15호 (1층),"대전광역시 대덕구 석봉로37번길 46-13 (석봉동,(1층))",,미문안마원,2.01312E+13,I,59:59.0,안마원,238173.8375,327700.7653,안마원,1,,,,,,,32.98
892,의료유사업,01_01_10_P,3680000,PHMB420103680022042400002,20101012,,3,폐업,3,폐업,20110331,,,,042-622-8788,,306824,"대전광역시 대덕구 중리동 401번지 17호 (1,2,3층)","대전광역시 대덕구 중리로7번길 6-20 (중리동,(1,2,3층))",,황제안마시술소,2.01103E+13,I,59:59.0,안마시술소,238069.7993,317829.5574,안마시술소,2,,,,,16,,479.69
893,의료유사업,01_01_10_P,3660000,PHMB420063660023042400001,20060714,,3,폐업,3,폐업,20081118,,,,042-538-4200,,302816,"대전광역시 서구 괴정동 426번지 9호 3,4,5층","대전광역시 서구 도산로369번길 53 (괴정동,3,4,5층)",,뱅크안마시술소,2.00906E+13,I,59:59.0,안마시술소,234923.5441,315434.5966,안마시술소,2,,,,,14,,531.88
894,의료유사업,01_01_10_P,3660000,PHMB420153660023042400002,20150925,,3,폐업,3,폐업,20190328,,,,042-472-5101,,,대전광역시 서구 월평동 1202,"대전광역시 서구 월평새뜸로20번길 62, 101호 (월평동)",35226,정문안마원,2.02012E+13,U,40:00.0,안마원,231830.3982,317155.5268,안마원,1,,,,,,,19.8
895,의료유사업,01_01_10_P,3680000,PHMB420113680022042400001,20110428,,3,폐업,3,폐업,20161221,20160321,20170320,,042-622-8788,,306824,"대전광역시 대덕구 중리동 401번지 17호 (1,2,3층)","대전광역시 대덕구 중리로7번길 6-20, 1,2,3층 (중리동)",306824,거성안마시술소,2.01612E+13,I,59:59.0,안마시술소,238069.7993,317829.5574,안마시술소,2,,,,,16,,479.69
896,의료유사업,01_01_10_P,3680000,PHMB420183680022042400001,20180302,,3,폐업,3,폐업,20200210,,,,042-639-6070,,,대전광역시 대덕구 법동 205번지 3호,"대전광역시 대덕구 계족로598번길 15-13, 101호 (법동)",34406,이동수지압안마원,2.02002E+13,U,40:00.0,안마원,238671.9345,318410.2351,안마원,0,,,,,,,28.6
897,의료유사업,01_01_10_P,3660000,PHMB420023660023042400001,20021211,,3,폐업,3,폐업,20091202,,,,483-1111,,302852,대전광역시 서구 월평1동 916번지 917 번지(5층),"대전광역시 서구 월평로 40 (월평동,917 번지(5층))",,엠브이피안마시술소,2.00912E+13,I,59:59.0,안마시술소,232402.37,317300.2363,안마시술소,4,,,,,20,2,646.54
898,의료유사업,01_01_10_P,3660000,PHMB420093660023042400001,20090605,,3,폐업,3,폐업,20101231,20100603,20101231,,,,302121,대전광역시 서구 둔산1동 915번지,대전광역시 서구 청사로 228 (둔산동),,보송안마시술소,2.01012E+13,I,59:59.0,안마시술소,234851.46,317691.62,안마시술소,2,,,,,22,,653.09
899,의료유사업,01_01_10_P,3660000,PHMB419993660023042400001,19990611,,3,폐업,3,폐업,20190124,,,,482-8684,,302847,대전광역시 서구 월평2동 250번지 6층,"대전광역시 서구 월평북로 88-16, 6층 (월평동)",35214,여우안마시술소,2.01901E+13,U,40:00.0,안마시술소,233847.47,317922.26,안마시술소,2,,,,,13,12.02,341.39
900,의료유사업,01_01_10_P,3660000,PHMB420043660023042400001,20040216,,3,폐업,3,폐업,20180723,20170117,20180116,,042-472-0295,,302831,"대전광역시 서구 둔산1동 1445번지 4,5층","대전광역시 서구 둔산중로40번길 31, 4,5층 (둔산동)",35241,오자안마시술소,2.01807E+13,I,59:59.0,안마시술소,234814.3751,316678.9913,안마시술소,2,,,,,13,21.25,374.1
901,의료유사업,01_01_10_P,3660000,PHMB420053660023042400001,20050722,,3,폐업,3,폐업,,20090811,20091231,,042-527-1127,,302816,"대전광역시 서구 괴정동 423번지 6호 2,3,4층","대전광역시 서구 계룡로620번길 20 (괴정동,2,3,4층)",,궁안마시술소,2.00909E+13,I,59:59.0,안마시술소,234978.6351,315455.2401,안마시술소,3,,,,,20,0,575.58
902,의료유사업,01_01_10_P,3660000,PHMB420053660023042400002,20051128,,3,폐업,3,폐업,20100127,,,,042-487-9620,,302852,대전광역시 서구 월평1동 514번지 3층,"대전광역시 서구 월평로 57 (월평동,3층)",,황궁안마시술소,2.01003E+13,I,59:59.0,안마시술소,232531.431,317345.4772,안마시술소,2,,,,,17,0,404.2
903,의료유사업,01_01_10_P,3660000,PHMB420073660023042400001,20070207,,3,폐업,3,폐업,20091229,,,,042-482-9966,,302859,대전광역시 서구 탄방동 727번지 8층,"대전광역시 서구 둔산남로 108 (탄방동,8층)",,케이케이안마시술소,2.00912E+13,I,59:59.0,안마시술소,234890.5484,316503.1943,안마시술소,2,,,,,18,0,396.42
904,의료유사업,01_01_10_P,3660000,PHMB420063660023042400003,20061117,,3,폐업,3,폐업,20070309,,,,485-5782,,302852,대전광역시 서구 월평1동 1140번지,대전광역시 서구 월평서로 8 (월평동),,수지안마원,2.00906E+13,I,59:59.0,안마원,232097.2611,317118.0267,안마원,1,,,,,,,12.24
905,의료유사업,01_01_10_P,3660000,PHMB420073660023042400002,20070614,,3,폐업,3,폐업,20090911,,,,042-543-0303,,302812,대전광역시 서구 관저2동 1354번지 2층,"대전광역시 서구 관저동로 65 (관저동,2층)",,건강터안마지압원,2.00909E+13,I,59:59.0,안마원,230485.3731,310854.4909,안마원,1,,,,,2,,48.48
906,의료유사업,01_01_10_P,3660000,PHMB420093660023042400003,20090928,,3,폐업,3,폐업,20130503,,,,042-524-3375,,302182,대전광역시 서구 가장동 55번지,대전광역시 서구 가장로 106 (가장동),302726,21세기안마원,2.01305E+13,I,59:59.0,안마원,234402.9302,314817.477,안마원,1,,,,,2,0,60.47
907,의료유사업,01_01_10_P,3660000,PHMB420093660023042400004,20091202,,3,폐업,3,폐업,20200904,,,,042-483-1111,,302281,대전광역시 서구 월평1동 916번지,대전광역시 서구 월평로 40 (월평동),35225,포인트안마시술소,2.02009E+13,U,40:00.0,안마시술소,232402.37,317300.2363,안마시술소,2,,,,,18,14.57,660.1
908,의료유사업,01_01_10_P,3660000,PHMB420103660023042400002,20100129,,3,폐업,3,폐업,20180730,,,,487-9620,,302852,대전광역시 서구 월평1동 514번지 3층,"대전광역시 서구 월평로 57, 3층 (월평동)",35222,펄안마시술소,2.01807E+13,I,59:59.0,안마시술소,232531.431,317345.4772,안마시술소,3,,,,,16,10.8,404.2
909,의료유사업,01_01_10_P,3660000,PHMB420103660023042400003,20100322,,3,폐업,3,폐업,20150803,,,,535-9556,,302816,"대전광역시 서구 괴정동 423번지 6호 (3,4층)","대전광역시 서구 계룡로620번길 20, 3,4층 (괴정동)",35299,로또안마시술소,2.01508E+13,I,59:59.0,안마시술소,234978.6351,315455.2401,안마시술소,3,,,,,18,,375.68
910,의료유사업,01_01_10_P,3660000,PHMB420103660023042400005,20100614,,3,폐업,3,폐업,,,,,482-6777,,302223,대전광역시 서구 탄방동 990번지,대전광역시 서구 탄방로7번길 74 (탄방동),35255,거북이안마원,2.02102E+13,U,40:00.0,안마원,235326.175,316208.405,안마원,2,,,,,0,0,58.6
911,의료유사업,01_01_10_P,3660000,PHMB420123660023042400002,20120309,,3,폐업,3,폐업,20200714,,,,042-485-1007,,,대전광역시 서구 도마동 148번지 14호 101호,"대전광역시 서구 제비네11길 3, 101호 (도마동)",35335,몸편한지압안마원,2.02007E+13,U,40:00.0,안마원,233779.9472,312829.9328,안마원,0,,,,,,,36.15
912,의료유사업,01_01_10_P,3660000,PHMB420123660023042400003,20120423,,3,폐업,3,폐업,20140306,,,,042-472-7505,,302860,대전광역시 서구 탄방동 895번지 1층,"대전광역시 서구 문정로112번안길 24, 1층 (탄방동)",302713,미소지압안마원,2.01403E+13,I,59:59.0,안마원,235208.4454,316167.6328,안마원,1,,,,,,,12.54
913,의료유사업,01_01_10_P,3660000,PHMB420143660023042400002,20140630,,3,폐업,3,폐업,20160425,,,,,,302860,대전광역시 서구 탄방동 982번지 2층,"대전광역시 서구 탄방로7번길 52, 2층 (탄방동)",35256,이선생안마원탄방점,2.01604E+13,I,59:59.0,안마원,235219.9594,316208.4025,안마원,1,,,,,,,56.73
914,의료유사업,01_01_10_P,3660000,PHMB420143660023042400003,20140923,,3,폐업,3,폐업,20181101,,,,042-537-2929,,,대전광역시 서구 도마동 70-40,대전광역시 서구 도산로 142 (도마동),35330,으뜸지압안마원,2.02012E+13,U,40:00.0,안마원,233880.9994,313434.0013,안마원,1,,,,,,,36.8
915,의료유사업,01_01_10_P,3660000,PHMB420183660023042400001,20180108,,3,폐업,3,폐업,20210929,,,,042-533-7770,,,대전광역시 서구 갈마동 393-12 갈마빌딩,"대전광역시 서구 신갈마로 110-7, 갈마빌딩 201호 (갈마동)",35281,진주지압안마원,2.02109E+13,U,40:00.0,안마원,233063.4055,315978.9674,안마원,0,0,0,0,0,0,0,231
916,의료유사업,01_01_10_P,3660000,PHMB420163660023042400002,20160307,,3,폐업,3,폐업,20170322,,,,,,,대전광역시 서구 갈마동 828,"대전광역시 서구 갈마역로 19, 2층 (갈마동)",35231,터안마원,2.02012E+13,U,40:00.0,안마원,233480.9468,316894.1057,안마원,,,,,,,,77.3
